Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
12/05/2019,42,PM2.5,Pala Airpad,06-073-1201,AQS,13,36,.,11,42,35
12/06/2019,45,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,16,31,0,.,45,33
12/07/2019,53,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,10,19,0,.,53,22
12/08/2019,36,Ozone,Alpine,06-073-1006,AQS,7,36,0,6,35,15
12/09/2019,40,PM2.5,Pala Airpad,06-073-1201,AQS,9,36,0,.,40,31
12/10/2019,47,PM2.5,Donovan,06-073-1014,AQS,16,37,0,.,47,34
12/11/2019,63,PM2.5,Donovan,06-073-1014,AQS,16,35,0,40,63,37
12/12/2019,64,PM2.5,Donovan,06-073-1014,AQS,17,37,0,.,64,40
12/13/2019,70,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,15,44,0,.,70,34
12/14/2019,74,PM2.5,Pala Airpad,06-073-1201,AQS,8,39,0,16,74,33
12/15/2019,76,PM2.5,Pala Airpad,06-073-1201,AQS,11,42,0,.,76,28
12/16/2019,45,PM2.5,Pala Airpad,06-073-1201,AQS,11,43,0,.,45,39
12/17/2019,63,PM10,Donovan,06-073-1014,AQS,8,44,0,63,45,37
12/18/2019,45,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,14,38,0,.,45,42
12/19/2019,58,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,14,42,0,.,58,37
12/20/2019,62,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,15,42,0,27,62,50
12/21/2019,70,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,19,41,0,.,70,41
12/22/2019,77,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,15,37,0,.,77,34
12/23/2019,51,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,18,36,0,17,51,29
12/24/2019,48,PM2.5,Pala Airpad,06-073-1201,AQS,11,37,0,.,48,24
12/25/2019,39,PM2.5,San Diego - Sherman Elementary School,06-073-1026,AQS,13,39,0,.,39,13
12/26/2019,41,Ozone,Donovan,06-073-1014,AQS,7,41,0,6,32,24
12/27/2019,53,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,13,35,0,.,53,33
12/28/2019,60,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,15,39,0,.,60,29
12/29/2019,58,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,17,39,0,16,58,31
12/30/2019,55,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,19,40,0,.,55,32
12/31/2019,80,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,15,39,0,.,80,35
01/01/2020,81,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,13,41,0,28,81,25
01/02/2020,64,PM2.5,Pala Airpad,06-073-1201,AQS,15,40,0,.,64,33
01/03/2020,77,PM2.5,Pala Airpad,06-073-1201,AQS,19,40,0,.,77,42
01/04/2020,64,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,18,43,0,33,64,29
01/05/2020,68,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,17,44,0,.,68,34
01/06/2020,63,PM2.5,Pala Airpad,06-073-1201,AQS,18,43,0,.,63,40
01/07/2020,42,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,15,39,0,19,42,42
01/08/2020,59,PM2.5,Donovan,06-073-1014,AQS,15,37,0,.,59,35
01/09/2020,46,PM2.5,Pala Airpad,06-073-1201,AQS,9,36,0,.,46,26
01/10/2020,46,PM2.5,Pala Airpad,06-073-1201,AQS,10,35,0,16,46,30
01/11/2020,48,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,10,40,0,.,48,26
01/12/2020,54,PM2.5,Pala Airpad,06-073-1201,AQS,11,39,0,.,54,30
01/13/2020,58,PM2.5,Pala Airpad,06-073-1201,AQS,18,40,0,22,58,32
01/14/2020,62,PM2.5,Pala Airpad,06-073-1201,AQS,13,43,0,.,62,33
01/15/2020,72,PM2.5,Camp Pendleton,06-073-1008,AQS,14,47,0,.,72,38
01/16/2020,76,PM2.5,Pala Airpad,06-073-1201,AQS,18,43,0,51,76,41
01/17/2020,87,PM2.5,Pala Airpad,06-073-1201,AQS,9,39,0,.,87,26
01/18/2020,51,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,15,42,0,.,51,34
01/19/2020,61,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,19,42,0,22,61,30
01/20/2020,68,PM2.5,Donovan,06-073-1014,AQS,11,39,0,.,68,31
01/21/2020,57,PM2.5,Pala Airpad,06-073-1201,AQS,8,37,0,.,57,26
01/22/2020,49,PM2.5,Donovan,06-073-1014,AQS,8,40,0,20,49,33
01/23/2020,57,PM2.5,Donovan,06-073-1014,AQS,10,33,0,.,57,42
